a_input,ampl_rec,cstart,cstop,dur,ed_rec,ed_rec_err,inlc,istart,istop,phi0,theta,total_n_valid_data_points,tstart,tstop,Protratio
1.0,0.22314199864597795,,,0.24945295404813983,2642.496662197156,51.30540673505551,70.0,743.0,762.0,7.4,20.0,3200.0,10.75492341356674,11.00437636761488,0.6236323851203496
1.0,0.43093552856610673,,,0.22319474835886233,4780.972521128121,55.79384982927278,81.0,734.0,751.0,5.4,20.0,3200.0,10.63676148796499,10.859956236323852,0.5579868708971558
1.0,0.41675013638163794,,,0.23632385120350108,4671.0836006140535,55.766667640979016,86.00000000000001,733.0,751.0,5.4,20.0,3200.0,10.62363238512035,10.859956236323852,0.5908096280087527
2.0,0.6614012963338287,,,0.9452954048140043,12466.92539909813,96.06121644820833,1.0,727.0,799.0,-0.4,20.0,3200.0,10.544857768052516,11.49015317286652,2.363238512035011
2.0,0.7650804142463787,,,0.9059080962800881,12777.978082901811,95.23174239945475,6.0,727.0,796.0,3.4,20.0,3200.0,10.544857768052516,11.450765864332604,2.26477024070022
2.0,0.4150982866598689,,,0.8533916849015313,9958.205396410067,93.53182003352335,24.0,727.0,792.0,1.4,20.0,3200.0,10.544857768052516,11.398249452954047,2.133479212253828
2.0,0.6644696053756072,,,0.6958424507658645,12705.38412385428,88.1282653612824,39.0,730.0,783.0,5.4,20.0,3200.0,10.584245076586432,11.280087527352297,1.7396061269146612
2.0,0.3372307377783126,,,0.47264770240700216,6402.972459529563,71.73746955117397,56.0,727.0,763.0,1.4,20.0,3200.0,10.544857768052516,11.017505470459518,1.1816192560175054
2.0,0.7416583759621183,,,0.28884026258205786,9895.974796789016,71.79166888482318,70.0,731.0,753.0,5.4,20.0,3200.0,10.597374179431071,10.886214442013129,0.7221006564551447
2.0,0.5992385129906839,,,0.27571115973741733,7722.814945501182,66.06841380986741,81.0,734.0,755.0,-0.4,20.0,3200.0,10.63676148796499,10.912472647702407,0.6892778993435433
2.0,0.567321423352287,,,0.27571115973741733,7434.129283126527,65.23838973615938,86.00000000000001,734.0,755.0,-0.4,20.0,3200.0,10.63676148796499,10.912472647702407,0.6892778993435433
0.25,0.11003178315654538,,,0.24945295404813983,1312.4441024273408,49.72914483974665,1.0,730.0,749.0,1.4,29.999999999999996,3200.0,10.584245076586432,10.833698030634572,0.6236323851203496
0.25,0.11097015005090016,,,0.28884026258205786,1564.3661991914291,53.510978490225796,6.0,729.0,751.0,-0.4,29.999999999999996,3200.0,10.571115973741794,10.859956236323852,0.7221006564551447
0.25,0.1065222443580176,,,0.22319474835886233,1330.4231508624398,48.50479141403755,24.0,734.0,751.0,-0.4,29.999999999999996,3200.0,10.63676148796499,10.859956236323852,0.5579868708971558
0.25,0.09860085135903818,,,0.21006564551422358,1274.810320240941,47.4886912492024,39.0,735.0,751.0,-0.4,29.999999999999996,3200.0,10.649890590809628,10.859956236323852,0.5251641137855589
0.25,0.1182092701304891,,,0.1838074398249443,1115.2966538329263,43.41837471596804,56.0,736.0,750.0,-0.4,29.999999999999996,3200.0,10.663019693654267,10.846827133479211,0.45951859956236074
0.25,0.13539617446113517,,,0.19693654266958305,1384.9404381001611,45.19514235923835,70.0,734.0,749.0,5.4,29.999999999999996,3200.0,10.63676148796499,10.833698030634572,0.4923413566739576
0.25,0.11965003845399469,,,0.17067833698030555,1151.8864401820506,42.71906466213726,81.0,736.0,749.0,5.4,29.999999999999996,3200.0,10.663019693654267,10.833698030634572,0.42669584245076386
0.25,0.10606258115495404,,,0.1575492341356668,911.8974096030228,40.33261672346533,86.00000000000001,737.0,749.0,-0.4,29.999999999999996,3200.0,10.676148796498905,10.833698030634572,0.393873085339167
