istart,istop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,theta,a_input,inlc,phi0
729,759,10.57111597374,10.96498905908,16464.1259577503,460.9258165111,1.09764324982,0.39387308534,3200,70.1,1.5,10,0.4
729,761,10.57111597374,10.99124726477,17544.8777753861,476.21868135032,1.21459221955,0.42013129103,3200,75.1,1.5,10,0.4
729,762,10.57111597374,11.00437636761,18050.194875576,483.47626648315,1.22148510353,0.43326039387,3200,80.1,1.5,10,0.4
729,764,10.57111597374,11.0306345733,18680.4807301417,493.61158002011,1.26802851471,0.45951859956,3200,85.1,1.5,10,0.4
734,737,10.63676148797,10.6761487965,685.84910385272,117.72028060708,0.2332756975,0.03938730853,3200,0.1,2,10,0.4
733,747,10.62363238512,10.80743982495,3524.49047008519,257.95368721977,0.3007865326,0.18380743982,3200,5.1,2,10,0.4
731,746,10.59737417943,10.7943107221,4453.8648545995,276.02910888573,0.34039125184,0.19693654267,3200,10.1,2,10,0.4
732,749,10.61050328228,10.83369803063,5658.97690227368,300.90968642827,0.42062877244,0.22319474836,3200,15.1,2,10,0.4
731,753,10.59737417943,10.88621444201,7452.11199100081,342.68586641586,0.50185658298,0.28884026258,3200,20.1,2,10,0.4
730,753,10.58424507659,10.88621444201,8976.04895925562,362.48592979575,0.63290432792,0.30196936543,3200,25.1,2,10,0.4
730,754,10.58424507659,10.89934354486,10099.8867456216,378.404455787,0.64738522593,0.31509846827,3200,30.1,2,10,0.4
729,756,10.57111597374,10.92560175055,11789.3502839285,404.95306315493,0.78841803066,0.35448577681,3200,35.1,2,10,0.4
730,759,10.58424507659,10.96498905908,13783.1549737104,430.80584784979,0.82366011699,0.38074398249,3200,40.1,2,10,0.4
729,757,10.57111597374,10.93873085339,14533.2627947072,436.21538730979,0.99458439636,0.36761487965,3200,45.1,2,10,0.4
729,761,10.57111597374,10.99124726477,17007.8190157137,470.17403964567,1.03591205622,0.42013129103,3200,50.1,2,10,0.4
729,760,10.57111597374,10.97811816193,17614.4182835766,474.48412344624,1.12781496716,0.40700218818,3200,55.1,2,10,0.4
729,762,10.57111597374,11.00437636761,19356.6926763239,495.70822304303,1.18929565007,0.43326039387,3200,60.1,2,10,0.4
729,762,10.57111597374,11.00437636761,20159.7837271372,504.32016173912,1.28638108569,0.43326039387,3200,65.1,2,10,0.4
