tstamp,ID,phi_a,theta_a,a,fwhm,Fth,phi0,i_mu,i_sigma,radius_deg,R_Rsun,qlum_erg_s,median,log_prob,nparam
02_08_2020_17_24,100004076,24,0.587,12.2,0.5,90616356361.5605,3.36150413934108,0.859459323010352,0.080231310597637,16.9208297394034,0.108176,1.1195352E+029,657.22369162312,log_probability,6
02_08_2020_17_44,44984200,9.2,0.88,0.6,3,90616356361.5605,-2.7,0.578451807009834,0.028255854448131,8.13151949802205,0.142339,9.3084509E+029,1703.54725029416,log_probability,6
04_08_2020_13_40,44984200a,9.2,0.88,0.6,3,90616356361.5605,-2.7,0.578451807009834,0.028255854448131,8.13151949802205,0.142339,9.3084509E+029,1703.54724632557,log_probability_2flares,9
04_08_2020_13_40,44984200b,14.5,0.88,0.2,1.5,90616356361.5605,-2.7,0.578451807009834,0.028255854448131,4.6842071198559,0.142339,9.3084509E+029,1703.54724632557,log_probability_2flares,9
04_08_2020_14_26,100004076,21.5,0.85,0.3,1.8,90616356361.5605,5.1,0.859459323010352,0.080231310597637,2.6159044142404,0.108176,1.1195352E+029,657.472073352423,log_probability,6
18_08_2020_15_38,100004076,21.5,0.85,0.3,1.8,90616356361.5605,5.1,1.00223300524,0.11321302467,2.6159044142404,0.108176,1.1195352E+029,657.472073352423,log_probability,6
18_08_2020_15_42,100004076,19,1,1.4,1,90616356361.5605,5.1,1.00223300524,0.11321302467,5.65822886040194,0.108176,1.1195352E+029,657.472073352423,log_probability,6
22_09_2020_09_37,44984200,38,1,0.3,7,90616356361.5605,4.8,0.578451807009834,0.028255854448131,5.74016747459968,0.142339,9.3084509E+029,1702.05880520903,log_probability,6
03_10_2020_11_24,44984200,38,1,0.3,7,90616356361.5605,4.8,0.578451807009834,0.028255854448131,5.74016747459968,0.142339,9.3084509E+029,1702.05880520903,log_probability,6
03_10_2020_11_25,44984200a,9.2,0.88,0.6,3,90616356361.5605,-2.7,0.578451807009834,0.028255854448131,8.13151949802205,0.142339,9.3084509E+029,1703.54724632557,log_probability_2flares,9
03_10_2020_11_25,44984200b,14.5,0.88,0.2,1.5,90616356361.5605,-2.7,0.578451807009834,0.028255854448131,4.6842071198559,0.142339,9.3084509E+029,1703.54724632557,log_probability_2flares,9
03_10_2020_11_27,100004076,21.5,0.85,0.3,1.8,90616356361.5605,5.1,0.859459323010352,0.080231310597637,2.6159044142404,0.108176,1.1195352E+029,657.472073352423,log_probability,6
03_10_2020_11_29,237880881a,11.9,0.698131700797732,2.5,0.5,90616286040.1588,2.00712863979348,0.371856147055469,0.071332687695481,27.4569047109177,0.275151,8.8706892E+030,615.088583574826,log_probability_2flares,9
03_10_2020_11_29,237880881b,14.75,0.698131700797732,0.8,1.9,90616286040.1588,2.00712863979348,0.371856147055469,0.071332687695481,27.4569047109177,0.275151,8.8706892E+030,615.088583574826,log_probability_2flares,9
03_10_2020_11_30,277539431,8.1,1.30899693899575,1.8,4.96040945303652,90616356361.5605,-2.61799387799149,1.52021431247817,0.04161485186356,15.3168675369726,0.145216,1.1263702E+030,778.055544903006,log_probability,6
13_10_2020_10_43,100004076,8.7,0.9,1,1.1,90616356361.5605,0.8,1.00223300524,0.11321302467,4.77984948597351,0.108176,1.1195352E+029,659.172925604934,log_probability,6
24_10_2020_18_50,452922110,15.5,0.96509650330182,0.52553675464244,2.5,90616356361.5605,-2.6,0.860933,0.0610865,7.88796297634849,0.1373,1.3028943E+030,314.115858568744,log_probability,6
29_10_2020_07_59,452922110,15,1.13962942850125,0.62553675464244,2.8,90616356361.5605,-2.6,0.860933,0.0610865,10.1916046425297,0.1373,1.3E+030,310.115858568744,log_probability,6
29_10_2020_07_59,452922110,15,1.13962942850125,0.62553675464244,2.8,90616356361.5605,-2.6,0.860933,0.0610865,10.1916046425297,0.1373,1.3E+030,310.115858568744,log_probability,6
