TIC ID,RA,DEC,pmRA,pmDEC,TESS mag,Name,Extended,Handling,Obj. Type
293520468,142.8417917,-17.29527778,-313.0,-128.0,13.4015,J0931-1717,N,N,M6.5
415678624,148.0911667,-19.40863611,-70.0,-98.0,14.1935,J0952-1924,N,N,M6.5
73118477,153.7310417,-41.65631667,-113.0,599.0,8.077,J1014-4139,N,N,M6Ve
272349442,154.3620417,-53.90723611,-177.0,-10.3,10.81,J1017-5354,N,N,M6?
449671564,162.0043333,-76.57085556,-261.0,106.0,12.236,J1048-7634,N,N,M6
55099399,162.0524167,-11.33556111,580.0,-1531.0,11.113,J1048-1120,N,N,M6
107012050,162.0609583,-39.93500556,-1175.0,-993.0,12.229,J1048-3956,N,N,M9
119862115,162.3287917,-53.31944444,-2759.0,354.0,14.6565,J1049-5319,N,N,L7.5 + T0.5
369863567,163.5459167,-85.08389722,-417.0,205.0,15.241,J1054-8505,N,N,M8
277539431,163.8154583,-73.93639722,143.0,-175.0,13.031,J1055-7356,N,N,M7
454227159,165.33025,-77.543975,-134.0,34.0,15.5695,J1101-7732,N,N,M7.5
1539914,166.737125,-12.7339,-335.0,11.0,14.1145,J1106-1244,N,N,M6.5 V
454291779,166.8195,-77.59806111,-20.0,192.0,15.8445,J1107-7735,N,N,M7.75
395130640,169.2387917,-80.46445,-169.0,16.0,12.089,J1116-8027,N,N,M6
471012738,170.4551667,-13.2189,-464.21,-57.0,14.474,J1121-1313,N,N,M8
322568489,176.055,-65.26835833,-314.0,-316.0,11.423,J1144-6516,N,N,M7
61476051,176.100375,-43.04833333,-289.0,125.0,14.43,J1144-4302,N,N,M6
165231308,178.9146667,-37.45973889,113.0,-861.0,15.937,J1155-3727,N,N,L2.0
5630425,178.9285833,-22.41612778,-357.0,-179.0,13.4035,J1155-2224,N,N,M7.5
332470458,179.8642917,-52.78835833,-1076.6,-130.7,14.121,J1159-5247,N,N,M9V
98874143,180.4254583,-27.62918889,-272.0,-161.0,14.4435,J1201-2737,N,N,M6.5V
204721469,185.98475,-27.96280278,-1215.0,291.0,14.233,J1223-2757,N,N,M6V
398985964,192.719375,-21.35362778,448.0,-338.0,13.4885,J1250-2121,N,N,M6.5
471012740,192.98025,-16.23639722,-378.2,-221.0,14.475,J1251-1614,N,N,M6V
2470992,194.0089583,-12.95585278,-270.0,-186.0,13.419,J1256-1257,N,N,M7
248223026,194.7695833,-43.606675,1099.0,-274.0,13.08,J1259-4336,N,N,M8:
415839928,197.3410417,-23.50972222,32.0,-364.0,14.331,J1309-2330,N,N,M8
30101427,206.6916667,-31.82388889,-325.0,172.0,13.231,J1346-3149,N,N,M6
125835702,216.0779167,-35.24223611,-2.0,-79.0,14.1705,J1424-3514,N,N,M6.5
388857263,217.4289167,-62.67948889,-3776.0,768.0,7.613,J1429-6240,N,N,M6.0
471012770,224.159625,-28.16306389,-484.0,-846.0,12.366,J1456-2809,N,N,M7 V
441000085,226.0675417,-23.93223333,-340.0,-71.0,14.4845,J1504-2355,N,N,M7.5
190138951,235.180875,-51.02640833,0.0,0.0,11.362,J1540-5101,N,N,M7
72254026,236.674375,-55.57968889,-247.0,-187.0,12.755,J1546-5534,N,N,M8.0
23997017,238.1858333,-26.38695556,287.0,-515.0,12.514,J1552-2623,N,N,M6
363217984,248.4545,-68.14666667,-80.0,-363.0,13.737,J1633-6808,N,N,M8 + M8.5
217005900,259.7071667,-46.63864722,-13.1,-38.7,13.1145,J1718-4638,N,N,M6.5V
464378628,281.2722917,-63.96305833,2444.0,696.0,12.1625,J1845-6357,N,N,M8.5
381983159,283.9462083,-69.2375,502.0,-694.0,12.722,J1855-6914,N,N,M6.0
201688405,300.5543333,-54.43222222,74.0,-368.0,13.877,J2002-5425,N,N,M6e
387220832,304.9575417,-58.27861389,-10.0,-415.0,12.9925,J2019-5816,N,N,M6.5
389051009,333.460375,-63.70278056,132.0,203.0,13.179,J2213-6342,N,N,M6.0
270218775,351.8602083,-17.6925,30.0,-551.0,14.153,J2327-1741,N,N,M7V
401984769,352.5671667,-47.61275833,-564.8,-974.2,13.63,J2330-4736,N,N,M7.0
304392811,352.8405833,-27.83055556,77.2,759.8,14.1195,J2331-2749,N,N,M7.5
34014829,357.9601667,-25.62668611,366.0,205.0,15.3795,J2351-2537,N,N,L0.5
77041175,358.5045833,-33.27308056,-329.0,-348.0,12.0955,J2354-3316,N,N,M8.5
280801342,359.6785833,-62.76167778,573.0,84.0,13.643,J2358-6245,N,N,M6Ve
