TIC,Sector,snr,period_d,period_h,angDist,designation,ra,ra_error,dec,dec_error,parallax,g_rp,RAdeg,DEdeg,HIP,TYC,UCAC4,2MASS,objID,WISEA,GAIA,APASS,KIC,S/G,Ref,r_Pos,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,Plx,e_Plx,Vmag,e_Vmag,Gmag,e_Gmag,Tmag,e_Tmag,f_Tmag,Flag,Teff,s_Teff,logg,s_logg,[M/H],e_[M/H],Rad,s_Rad,Mass,s_Mass,Dist,s_Dist,E(B-V),s_E(B-V),e_Dist,E_Dist,RAOdeg,DEOdeg
445862633,22,2.9082979349524,0.316401342672089,7.59363222413013,4.526776,Gaia DR2 1608678527544560256,215.332404142736,0.049318560566751,54.339599069738,0.046915162470269,27.3592395851817,1.3393888,215.3330251689,54.33839488175,,,,14211993+5420183,1.23766138814208E+018,,1.60867852754456E+018,,,STAR,tmgaia2,tmgaia2,-84.09,0.094,279.682,0.086,gaia2,27.3592,0.0601,17.39,0.2,15.6851,0.000699,14.224,0.007,cdwrf,cdwrf,3032,157,5.1546,0.0417,,,0.157,0.005,0.129,0.02,36.5124,0.0807,,,0.0806,0.0808,215.33240414274,54.33959906974
232083054,2,2.83335726937764,0.312816398128497,7.50759355508394,1.456303,Gaia DR2 4698166391819382272,30.0840743243393,0.04623516783046,-66.2339285537087,0.036326581597783,21.9543914980231,1.2801971,30.08308681097,-66.23385601574,,,119-001673,02001992-6614017,,J020020.10-661402.0,4.69816639181938E+018,32406005,,STAR,tmgaia2,tmgaia2,92.432,0.098,-16.847,0.076,gaia2,21.9544,0.0459,15.675,0.126,13.8618,0.001108,12.48,0.008,cdwrf,cdwrf,3151,157,4.8629,0.0005,,,0.361,0.011,0.347,0.02,45.4893,0.0957,,,0.0955,0.0958,30.08407432434,-66.23392855371
229683574,26,3.28332381234022,0.310572893160262,7.45374943584628,0.923164,Gaia DR2 1422089200991628672,262.437883692011,0.065885373445895,56.5278830254874,0.084941821107299,20.7874302948548,1.36129,262.437423896,56.52784495001,,,,17294498+5631403,,J172945.05+563140.3,1.42208920099163E+018,,,STAR,tmgaia2,tmgaia2,58.899,0.195,8.843,0.176,gaia2,20.7874,0.078,18.24,0.2,16.278999,0.001419,14.788,0.008,cdwrf,cdwrf,2988,157,5.137,0.0384,,,0.165,0.005,0.135,0.02,48.0403,0.1813,,,0.1807,0.1819,262.43788369201,56.52788302549
97348925,7,2.6264709146139,0.310117800762917,7.44282721831002,2.468007,Gaia DR2 5602894552576215808,106.31718345383,0.09163854822488,-33.6743930773064,0.115053883226287,36.6221074146484,1.5073833,106.31778877234,-33.67392807583,,,,07051631-3340260,,J070516.18-334027.2,5.60289455257622E+018,,,STAR,tmgaia2,tmgaia2,-117,8,-108,8,sblink,,,18.6,0.2,15.9737,0.001045,14.259,0.008,cdwrf,cdwrf,2812,157,5.158,0.0427,,,0.156,0.005,0.128,0.02,,,,,,,106.31718345383,-33.67439307731
219795029,21,3.14105302907011,0.307194704658341,7.37267291180018,1.865089,Gaia DR2 1439556905999738368,265.222398810526,0.08122840641371,62.7110109491754,0.099687844159042,22.9950657158521,1.3993216,265.22251060325,62.71049541052,,,,17405340+6242377,1.23765656382453E+018,J174053.38+624239.1,1.43955690599974E+018,,,STAR,tmgaia2,tmgaia2,-11.905,0.153,119.738,0.157,gaia2,22.9951,0.1078,17.54,0.2,15.8205,0.0009,14.274,0.008,cdwrf,cdwrf,2910,157,5.075,0.0275,,,0.194,0.006,0.163,0.02,43.4346,0.205,,,0.204,0.206,265.22239881053,62.71101094918
37907855,5,2.85005580059378,0.305813051838257,7.33951324411817,2.606661,Gaia DR2 3191902806854501760,66.4170262204306,0.070801228946087,-8.68520390510492,0.051505867096965,29.924845111174,1.3742857,66.41637130068,-8.6855281611,,,,04253992-0841080,1.23767428484891E+018,J042540.03-084107.1,3.1919028068545E+018,,,STAR,tmgaia2,tmgaia2,150.366,0.144,75.311,0.097,gaia2,29.9248,0.1014,17.18,0.2,15.4345,0.000796,13.924,0.008,cdwrf,cdwrf,2956,157,5.1094,0.0337,,,0.177,0.005,0.147,0.02,33.3854,0.1138,,,0.1134,0.1143,66.41702622043,-8.6852039051
243400994,14,2.75462077133564,0.305637644513345,7.33530346832027,0.670005,Gaia DR2 1857250172128937856,308.994397566362,0.037542323109602,27.867220143465,0.046390956991552,25.4527664292351,1.3167629,308.99421706743,27.86731593593,,,590-114653,20355860+2752023,1.23767489473603E+018,J203558.64+275202.1,1.85725017212894E+018,46993582,,STAR,tmgaia2,tmgaia2,37.061,0.104,-22.249,0.098,gaia2,25.4528,0.0702,15.489,0.017,13.7668,0.000569,12.335,0.007,cdwrf,cdwrf,3070,157,4.8722,0.0004,,,0.352,0.011,0.336,0.02,39.2443,0.1089,,,0.1086,0.1092,308.99439756636,27.86722014347
232073492,27,2.69080835170653,0.298956775647321,7.17496261553571,1.500963,Gaia DR2 4694395410533461760,28.3550498198385,0.053822461134411,-68.5563658878861,0.049411644309466,22.5066111330813,1.334053,28.35393015074,-68.55628665247,,,108-001795,01532494-6833226,,J015325.12-683322.8,4.69439541053346E+018,33081149,,STAR,tmgaia2,tmgaia2,95.072,0.117,-18.402,0.104,gaia2,22.5066,0.0573,16.323,0.16,14.3831,0.001501,12.93,0.008,cdwrf,cdwrf,3047,157,4.9066,0.0035,,,0.318,0.01,0.297,0.02,44.3748,0.1135,,,0.1133,0.1138,28.35504981984,-68.55636588789
234997090,1,2.94129037954681,0.296979271687831,7.12750252050795,1.709456,Gaia DR2 6487249243899899904,350.719143078623,0.049254201611402,-61.8535235779606,0.052050345202064,23.5643027115549,1.3425407,350.71843322286,-61.85318690278,,,141-209085,23225240-6151114,,J232252.54-615112.3,6.4872492438999E+018,,,STAR,tmgaia2,tmgaia2,77.774,0.096,-78.195,0.102,gaia2,23.5643,0.0652,16.687,0.378,14.9024,0.000703,13.433,0.008,cdwrf,cdwrf,3004,157,4.98,0.0128,,,0.255,0.008,0.226,0.02,42.3855,0.1181,,,0.1177,0.1184,350.71914307862,-61.85352357796
351687221,24,2.52506930271034,0.295966765752985,7.10320237807165,3.442689,Gaia DR2 526245270291681792,13.3349477464093,0.065058005489345,66.9150836560768,0.077026589317908,24.6909904147446,1.3545084,13.33502461525,66.91603948353,,,785-002523,00532040+6654576,,J005320.38+665455.3,5.26245270291682E+017,,,STAR,tmgaia2,tmgaia2,-7,8,-222,8,sblink,,,16.78,0.2,15.067,0.000506,13.583,0.007,cdwrf,cdwrf,2989,157,5.0024,0.016,,,0.238,0.007,0.208,0.02,,,,,,,13.33494774641,66.91508365608
