,istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,snr,period,period_h,TIC,Sector,note,dur_over_period,
1434,11086,11157,163849,163920,1455.02886356954,1455.12747190213,1587.85396120996,12.1450276388599,0.298348903656006,0.098608332592221,17367,2.01792313939206,0.058146792850954,1.3955230284229,416744592,5,SSO,1.69585161549633,
1807,733,749,115002,115018,1387.18582924381,1387.20805159005,163.09794497837,2.19187423471948,0.242170095443726,0.022222346230819,13153,2.04332336564977,0.069864056022426,1.67673734453823,415974305,3,norot,0.318079818092522,
134,7379,7408,414834,414863,1803.61845745825,1803.65873470774,728.17895369644,1.43791293354538,1.8266658782959,0.040277249492874,14752,4.25264143231776,0.107907290121951,2.58977496292683,415957794,18,I,0.373257909149186,
186,8595,8638,519117,519160,1948.45503445454,1948.51475690934,1169.68603348346,4.97737998312747,1.42016339302063,0.05972245480325,13040,3.62494285060422,0.143421792599155,3.44212302237973,409372963,23,I,0.416411297899242,
377,12831,12850,420265,420284,1811.15832232919,1811.18471053151,448.943228515962,4.61627699422776,0.871437668800354,0.026388202317776,14956,3.38531782826448,0.139883924295078,3.35721418308187,408094501,18,I,0.188643566090636,
288,14231,14249,403364,403382,1787.68515265904,1787.71015238859,600.039238112999,4.09392969047638,1.08305668830872,0.02499972954729,14494,2.48396041434144,0.139819830625208,3.355675935005,408094501,17,I,0.178799598279465,
866,5106,5124,489636,489654,1907.51009586508,1907.5350966116,274.573971001721,5.28535194600937,0.454994201660156,0.025000746520163,15666,6.00676816174454,0.082864082139838,1.9887379713561,406732126,22,I,0.301707879633214,
1708,7210,7220,375477,375487,1748.95335986386,1748.96724887152,188.303079968204,15.4373735040354,0.253094673156738,0.013889007667331,14826,2.13465807681767,0.051687167003317,1.24049200807961,403846866,16,sys,0.268712883150274,
375,3741,3824,548397,548489,1989.11502392373,1989.24280039118,896.972735107785,1.91951070972538,0.879562258720398,0.127776467445528,16947,3.97078274921447,0.077355439028153,1.85653053667568,402980664,25,I,1.65180973763234,
526,5459,5515,569310,569366,2018.16089375773,2018.23867246479,379.804931072981,1.10310087502111,0.662186741828918,0.077778707059679,16643,5.17138120977171,0.110389202877625,2.64934086906299,402980664,26,I,0.704586182635115,
1449,9663,9732,555354,555425,1998.7774656572,1998.8760765276,295.095868891926,1.72950220855155,0.294495344161987,0.098610870406446,16947,3.97078274921447,0.077355439028153,1.85653053667568,402980664,25,I,1.27477617146685,
1957,13632,13653,578302,578323,2030.64999285195,2030.67916012551,93.8577078726219,0.90012203535126,0.227899789810181,0.029167273561143,16643,5.17138120977171,0.110389202877625,2.64934086906299,402980664,26,I,0.26422215942149,
2036,11871,11926,576513,576569,2028.17194606326,2028.24972236246,159.232167906978,1.21910383624381,0.217516660690308,0.077776299202469,16643,4.2799620701469,0.132786113787946,3.18686673091069,400361232,26,I,0.585726149999951,
1201,15347,15378,580038,580070,2033.06768010011,2033.11212359508,330.534848210142,1.10835741447644,0.347596645355225,0.044443494969528,16643,4.2799620701469,0.132786113787946,3.18686673091069,400361232,26,I,0.334699869600088,
272,5696,5706,373963,373973,1746.84490642482,1746.85879553982,347.473360360558,6.53954653500737,1.11865234375,0.013889115002485,14380,2.26452557827871,0.060664766397534,1.45595439354081,399964558,16,I,0.228948627469694,
632,7913,7946,257320,257353,1584.84953253149,1584.89536581693,941.760036718472,6.11441380618396,0.572978258132935,0.045833285446179,15538,3.27774355804061,0.184153042077502,4.41967300986006,397431902,10,I,0.248886930832724,
765,10893,10901,318930,318938,1670.41778169083,1670.4288927958,169.392171245779,1.86309956953128,0.501044750213623,0.011111104976862,19282,2.21914089868408,0.059237642336736,1.42170341608166,396088793,13,norot,0.187568318700143,
2028,1241,1268,308460,308487,1655.87363175146,1655.91113222465,334.832817117994,6.41921216282895,0.218551993370056,0.037500473190903,19282,2.00931614594316,0.056822998621379,1.36375196691309,394356010,13,I,0.659952380210957,
850,14209,14230,322283,322304,1675.07239190878,1675.10155867058,342.439142404943,4.93376824863722,0.462284088134766,0.029166761800298,19282,2.00931614594316,0.056822998621379,1.36375196691309,394356010,13,I,0.513291493021003,
