designation,ra,ra_error,dec,dec_error,parallax,g_rp
Gaia DR2 2658919110838542848,348.774059927847,0.128051228809099,3.07081260672611,0.078116867251049,28.0600093213174,1.3866634
Gaia DR2 2165306323469006720,317.693055353517,0.910945290345904,48.234088973109,1.11101491645175,23.9757007675025,1.3866882
Gaia DR2 1349070844245896704,266.125965246866,0.05681285609092,43.6110805002328,0.066228108040695,28.2761422878094,1.3867483
Gaia DR2 6387419738490977792,353.043872940866,0.063168318863914,-69.4485434418824,0.053726471117073,22.7371015621441,1.3868427
Gaia DR2 4517102081153737472,289.702725188157,0.807590940453756,21.7597555098383,1.31281506506017,22.2376048074289,1.3868542
Gaia DR2 4145468422278625408,270.51963726321,1.08879601939352,-15.1555692957313,1.11611166178717,22.4859083268798,1.3868866
Gaia DR2 3207554389235614720,80.0946598776086,0.079724536711283,-6.98379934825489,0.069127443075377,24.0702874165205,1.3869181
Gaia DR2 5601918701657954176,118.166107854602,0.793270507248416,-27.1070281647121,1.13498451428625,22.8784829925804,1.3869228
Gaia DR2 653489998622345856,121.479003071796,0.534661333064463,13.8231936054948,0.341858011782717,21.5241886913578,1.3869333
Gaia DR2 52640154268714496,62.6567407883641,0.141013655007218,21.6025029137137,0.065614375310489,20.6593944542235,1.3869448
Gaia DR2 5476390242244634880,91.358943921542,0.081758867024278,-65.9980442827998,0.077824534084565,21.332085376743,1.3869915
Gaia DR2 4147834399497209728,266.977485000937,2.75386134937804,-16.6977124935103,1.47400958148673,31.9105519003662,1.3869972
Gaia DR2 4779298530199569664,64.5828663010558,0.184094006580645,-53.7695542586082,0.211157638944454,21.7475146670894,1.3870039
Gaia DR2 827864743125454976,147.066983127213,0.058933213789299,51.2473553918968,0.088818452690619,27.650721059946,1.3870087
Gaia DR2 1660194770473742720,214.410560348912,0.079643215134155,59.6501344747303,0.061879153441562,22.8280462513255,1.3870325
Gaia DR2 2926644625924834560,99.8313974848729,0.279886453458593,-21.7423372757842,0.679348180737175,20.1796515622593,1.387043
Gaia DR2 4915737301751402368,23.0259529073552,0.475866938011085,-53.5980467439228,0.307594121434175,21.0524972794859,1.3870592
Gaia DR2 3318875337345149568,92.2112909479927,0.112937220055216,5.54356107488731,0.11935501527132,29.9203509975446,1.3870764
Gaia DR2 4180731306349532544,291.668145480435,0.325196697229856,-16.6979440567856,0.310257441512566,20.8346144741294,1.3870859
Gaia DR2 5618467726035023616,113.096247792803,0.490642967252945,-23.2468681635944,1.06766705429672,79.4328762724568,1.3870907
Gaia DR2 2022944684668125952,291.578976419295,0.722068821897131,24.9003596129691,1.21909141896339,23.1088996891331,1.3871002
Gaia DR2 5978390349125637248,255.994133691915,0.914495541131067,-34.0816911183021,0.646912515254137,21.3030414861824,1.387104
Gaia DR2 2640434056928150400,353.796960795376,0.095061714867032,-2.39268245662957,0.063185841629942,139.310040840402,1.3871126
Gaia DR2 5452103507851367296,165.607092756849,0.091676079556799,-30.8836546547471,0.087009889592958,34.369031810759,1.3871384
Gaia DR2 5979439661221960832,259.778582013263,0.130744717304092,-32.62138677231,0.104949795066567,20.7070640346316,1.3871593
Gaia DR2 2017728734628556672,292.675599992927,0.620212761725568,20.3649214478476,0.759388096458904,26.1383843020891,1.3871994
Gaia DR2 1780975950986858240,328.113988835405,0.075316563352157,20.7005418196327,0.083176865343597,30.3754176372073,1.3872328
Gaia DR2 3136905299658476416,116.036792941106,1.69355882929408,3.20358973131647,1.75221956563843,30.2165808384386,1.3872375
Gaia DR2 671436777166606976,114.712060684641,0.121019547119115,18.4882169936156,0.103199276401259,54.4193236644863,1.3872423
Gaia DR2 6169356930249033344,200.773444286156,0.122599403085199,-31.7251926120246,0.106011195148284,20.3969505425664,1.3872442
Gaia DR2 4911820673830394880,27.7147648270562,0.061333531894101,-55.1007537918572,0.057074614729111,22.0795045120549,1.3872452
Gaia DR2 4145979901381224960,272.22301684287,1.08861988767079,-15.2539096437924,1.50620163802288,27.0333623395752,1.3872795
Gaia DR2 3690944712061678720,197.310432876935,0.046585099345277,1.41926969656163,0.031288214948499,21.083009021915,1.3872833
Gaia DR2 3675273304111619328,190.720831970793,0.101746545609831,-8.43065822775972,0.068399054114931,27.2295072562522,1.3872938
Gaia DR2 4373813863241766784,263.906202013984,0.099311591764196,0.204482190877787,0.103391695024724,40.8124355471639,1.3873034
Gaia DR2 1287701980697022208,219.569959277212,0.433185625425076,34.2676003987894,1.1306902898032,29.4198819602176,1.38731
Gaia DR2 2698694669823421056,325.066008741615,0.10381340980314,5.27741098905338,0.094548802251266,29.5087032342128,1.3873587
Gaia DR2 2071849037709405824,299.377530073042,1.67751126427756,37.3302314825595,2.80980623467003,29.8662619233868,1.3873596
Gaia DR2 4479746311028419328,278.806512385126,0.762194557382161,9.38790558238222,0.817620257603294,22.529717422443,1.3874245
