,wav,10,30,50,70,90,110
177,8008.59,123299.48671924778,108867.55669904033,107388.45467846046,106688.51683747438,107102.32017688325,108025.24255756088
178,8008.64,123600.49315341473,108212.77353688431,107299.30931759291,106647.68734845845,107155.62180587153,108073.45320086271
179,8008.69,120177.09423596137,107760.40045785665,107450.6838673711,106568.49997448237,107204.07417533109,108146.01558808616
180,8008.74,115746.90103735702,107197.77024715467,107441.04502459115,106539.82964058779,107280.97543118747,108163.18476125196
181,8008.79,111234.6754909355,106894.17592247747,107418.12264730818,106545.42205397873,107328.9243346728,108117.09700465477
182,8008.84,107510.31228774504,106878.36004936352,107346.99476611502,106556.8843886088,107317.44525780127,108057.53884057605
183,8008.89,104496.55785839044,107168.96900559132,107014.71032412267,106578.41644503246,107355.58616708928,107996.41878396581
184,8008.94,103115.1237227103,107952.82473467414,106729.69807575036,106598.28473349207,107437.38870948549,107939.44297158942
185,8008.99,101823.27540827917,108561.8903927237,106452.98143946438,106607.80038014738,107580.2732341903,107848.24194262085
186,8009.04,99814.29817413213,108410.50889288053,106221.43928765446,106609.86591747645,107704.95989317037,107818.65032870637
187,8009.09,97636.39487472564,107699.29422879289,106038.5075913132,106657.9803376915,107783.58470971703,107778.06891227832
188,8009.14,96153.05358168783,107116.41105388502,106019.55713936628,106723.2224632762,107809.9623275782,107814.26660588566
189,8009.19,96356.59034534243,106266.23441979765,106021.42751083281,106826.60058996409,107817.00901594016,107865.43693684999
190,8009.24,97374.24728901147,105407.05187798769,105903.39205751932,107001.47020837966,107824.87507892768,107852.40100447078
191,8009.29,98378.09597151888,104484.55663502184,105849.94844364913,107177.51786028095,107792.91377757785,107828.28948842753
192,8009.34,99705.48879243249,103659.76929753732,105885.4263828962,107283.6381816475,107764.75470802917,107787.13701859106
193,8009.39,102029.80619060213,103013.31589402983,105922.47115826217,107324.7168698954,107770.97872929403,107765.58832599825
194,8009.44,106444.43449867611,102444.16604067238,106034.35813127756,107369.95875578435,107766.11327525669,107786.56590679273
195,8009.47,109517.03585349595,102309.7842617299,106158.34040213337,107402.94675686398,107757.94825307278,107775.69402232362
196,8009.49,111965.68281782832,102249.11087519467,106233.87039593108,107469.2119484171,107752.1927834084,107771.32435799016
197,8009.54,115442.2211626599,102076.60290723527,106257.06408707557,107613.60581562002,107739.1905594574,107750.73563488295
198,8009.59,113789.2693140028,101846.40931205927,106244.76430596934,107811.12286134738,107747.90149877111,107724.15685576617
199,8009.64,109873.34507152358,101929.56004233731,106342.27347378443,107953.84553640508,107778.98920357408,107698.7271461972
200,8009.69,105893.70566853034,102899.62490016482,106338.82499474354,108015.33562411704,107828.63190756607,107671.03840026392
201,8009.74,102538.18782345987,103510.26968485676,106203.40710414523,108073.49727944843,107907.02684653467,107642.96512179167
202,8009.79,100403.73598120984,103899.79225452915,106102.3259301116,108065.11450328834,107934.12824011581,107661.54369632117
203,8009.84,97784.95297103115,104461.87195029334,106092.94917817532,107999.92431930201,107941.44339477993,107648.22217383991
204,8009.84,97784.95297103115,104461.87195029334,106092.94917817532,107999.92431930201,107941.44339477993,107648.22217383991
205,8009.89,95898.41356178418,104956.6553855803,105998.4584103904,107969.12864320193,107943.7667026381,107676.57332780847
206,8009.94,94087.7497751832,105309.1840604409,105987.90937098711,108004.16156242484,107926.05352785133,107749.5291192119
207,8009.99,93732.49178710826,105867.96757892502,106234.90449459164,108042.93855947489,107915.87254914318,107808.50398820861
208,8010.04,96379.30462053542,106397.94010644621,106649.84826515899,108074.87266224861,107844.05116833915,107922.24519151644
209,8010.09,100376.68275594665,106603.80277864763,107094.85040281678,108082.7186714027,107782.5963250265,108022.9513230622
210,8010.14,102166.1422122142,106796.18585379946,107571.82162650274,108082.06957499293,107776.10873194969,108094.34987046215
211,8010.19,104105.93163001565,106959.57901581333,107975.2860344956,108120.470759602,107775.0432237997,108188.14040712934
212,8010.24,106893.56296488001,106851.86872201653,108405.67377257688,108114.34497205252,107759.5352149647,108302.70782451463
213,8010.29,108791.69453885163,107015.00299709332,108729.49476253761,107969.2544626627,107758.920296856,108455.0884356809
214,8010.34,111359.4516487187,107331.81640699902,108912.67334609394,107786.68925315821,107759.50784611794,108531.87625004488
215,8010.39,113601.64777523668,107767.25809408778,108993.56802896799,107605.68432601051,107751.755094117,108578.11515739387
216,8010.42,114682.54110764693,107781.88582974796,109030.37641882156,107532.6664476026,107771.76965249049,108590.92647694131
217,8010.44,114777.13767077938,107810.54543647218,109067.01332549728,107511.06772919044,107809.07194179512,108604.73416249128
218,8010.45,115023.01887595626,107886.53154967906,109093.46844354906,107490.56686174085,107832.82977146104,108601.72844298814
219,8010.49,115651.9444711049,108251.10556007795,109216.27195572638,107502.27957829856,107916.97483770266,108544.89066572911
220,8010.52,116016.47874156137,108791.56753687827,109279.66924189162,107520.87079779491,107994.114327446,108520.54264757769
221,8010.54,115951.45837866497,109174.90448983292,109330.45262312822,107521.85079221307,108071.7770873126,108505.88768391858
222,8010.59,115119.00636040501,110685.68652352216,109392.02943369026,107513.31854172432,108243.98671748563,108480.3828543222
223,8010.64,112990.52111053673,112301.10070967226,109451.44048703367,107528.69255271353,108365.07369807112,108507.13097368676
224,8010.69,109530.72677964899,113188.84215118528,109459.45151685232,107594.69220173953,108467.66220515312,108524.4927160707
225,8010.74,107019.54624321322,113572.8352197707,109470.67548636167,107731.31928998017,108581.812652887,108548.82746846174
226,8010.79,107463.6816746583,113788.63984443825,109404.16757462028,107871.80253307642,108661.88052606754,108587.59393369594
227,8010.84,108061.99845156466,114135.11504118706,109308.05149555723,108017.14867148371,108677.15653442935,108619.0088241308
228,8010.89,109810.45611384542,114220.220094464,109114.76129442579,108122.12406317971,108642.5046196702,108641.80190461151
229,8010.94,111383.25461673203,113938.69311260692,108975.68556110033,108222.25480905331,108589.35373457531,108682.18571276682
230,8010.99,112508.4308979201,113806.64870302856,108893.50592913237,108375.92145321821,108539.934158487,108755.12320470616
231,8011.04,114370.69521163526,113554.90618404512,109020.64328679786,108576.3629724645,108489.67629664109,108839.51312407896
232,8011.09,117436.1222429133,113071.08546154447,109150.52135460784,108833.34914778506,108502.80794323141,108949.73743144545
233,8011.1,118195.33938772693,112916.21428648266,109203.93847450099,108888.09853293386,108511.68053588127,108965.4591915689
234,8011.14,120495.51044617803,112443.84027475739,109332.56631918572,109087.45464293212,108550.87610685789,109011.82959835953
235,8011.19,122606.3457357038,111746.39623557229,109561.11328482404,109259.80846953508,108619.14775392176,109092.07054862984
236,8011.24,123673.31410584721,110780.55125948935,109521.43708552826,109395.40461503604,108697.18278362439,109169.73626272677
237,8011.28,123612.89267637131,110447.1212994316,109456.74207080953,109508.36344105465,108808.44640090989,109230.81793529047
238,8011.29,123277.30651905188,110402.62638360148,109440.63716544797,109534.05321860978,108844.7575849135,109232.26859395833
239,8011.34,121812.14001621737,110206.27348842764,109354.75493165161,109652.36691616297,108982.6135558664,109229.36813348062
240,8011.39,119493.55524258119,109555.37460853536,109471.86564111648,109739.84018926808,109103.28427281858,109227.90756715115
241,8011.44,116041.39054373039,108899.13012524159,109479.24407942109,109738.24410140798,109217.44543490112,109190.67265596056
242,8011.49,111370.10259626442,108529.28192049002,109452.08220287127,109734.19066047252,109326.17711853024,109190.43250354081
243,8011.54,105035.23516690459,108204.53505882114,109594.82200657357,109679.7160971136,109447.50630437257,109205.31946984277
244,8011.59,99214.78289806852,108188.52929098309,109676.53018176266,109664.48732678597,109586.52016990595,109209.51940955351
245,8011.64,94008.00445085127,107819.02075129015,109845.86070616521,109760.78937770895,109716.5920523281,109227.74477443425
246,8011.69,91072.36246355188,107048.41391794385,109966.01386993611,109964.21307435917,109825.37714961551,109241.80143247682
247,8011.74,90767.83149702988,106456.77804053217,109887.67828051864,110097.1297975756,109932.58311007453,109276.3803312762
248,8011.79,92854.08549029096,106199.18393375757,109743.43445326129,110132.75975735538,110004.78812862068,109334.15161324208
249,8011.84,96017.01244276964,105789.0691310543,109955.74943563876,110163.19484826182,110040.68450989848,109436.64110286738
250,8011.89,98779.10537646456,105543.43502807537,110161.06553048245,110223.76331986641,110078.80327890065,109536.70020838887
251,8011.94,100451.6755454155,105547.54595052353,110154.36510366017,110323.9626971298,110115.09557981949,109615.93502530264
252,8011.99,100901.78411733745,105673.02716535631,110080.73608518713,110399.6360798493,110124.62304225552,109722.191870065
253,8012.04,101391.12798768867,105588.7251191915,110083.51391117659,110457.87806349018,110155.07754447052,109813.31916606202
