TIC,Sector,snr,period,period_h
92878902,5,4.71942662108389,0.195417204920572,4.69001291809373
259293409,18,4.69393494401634,0.143501855999101,3.44404454397842
179232002,9,4.67948184915729,0.131908171535303,3.16579611684726
298412511,20,4.60976457573227,0.206710182688433,4.96104438452239
260972843,12,4.59975122613747,0.142252045767899,3.41404909842958
201789285,3,4.57769330303056,0.151610277129588,3.63864665111012
53067214,6,4.56144706278802,0.224060480862519,5.37745154070045
350332233,27,4.48562926997928,0.215289869895778,5.16695687749867
44984200,10,4.4668112359405,0.112986492637899,2.71167582330959
421558642,15,4.46617614530362,0.173811852784037,4.17148446681689
272705043,26,4.43140806149625,0.199142844914519,4.77942827794845
272705043,21,4.40207860125118,0.199102647820205,4.77846354768492
52256020,1,4.37173546174722,0.265832200717532,6.37997281722077
385445333,19,4.30844633892943,0.207810447814719,4.98745074755326
53842250,1,4.28643435079515,0.261741726187078,6.28180142848988
234295610,1,4.28068605350253,0.190596738665393,4.57432172796943
7652962,5,4.28003846130892,0.198079969639624,4.75391927135098
400361232,26,4.2799620701469,0.132786113787946,3.18686673091069
415957794,18,4.25264143231776,0.107907290121951,2.58977496292683
425937691,28,4.21983670935607,0.066864231965317,1.60474156716762
77959225,6,4.21838980377036,0.136609938965466,3.27863853517119
288506050,22,4.20624057237689,0.100951288366327,2.42283092079185
408094501,16,4.17897561481097,0.139834065495313,3.35601757188752
139990632,1,4.17838070166688,0.24059579639202,5.77429911340847
234495456,2,4.14898886644053,0.190298983088541,4.56717559412499
89615401,10,4.13003263358074,0.10597362570536,2.54336701692863
25153167,1,4.12605885822172,0.186766633698577,4.48239920876584
273536065,19,4.11570591314106,0.220120440490223,5.28289057176535
370065236,18,4.09118559254634,0.177183750766048,4.25241001838515
65347864,4,4.06490745845677,0.066437868134883,1.5945088352372
144653213,4,4.04315376967279,0.122014764016204,2.92835433638889
406776177,13,4.04118825745987,0.184125701088068,4.41901682611364
160618342,26,4.04083742156511,0.273057910537316,6.55338985289558
125835702,11,4.04024376299277,0.116017196556108,2.78441271734659
450348875,24,4.00448622017679,0.254450225960574,6.10680542305379
339607562,2,4.0033375009338,0.222431998255958,5.338367958143
402980664,25,3.97078274921447,0.077355439028153,1.85653053667568
164463430,14,3.95309462832733,0.183839532200635,4.41214877281524
