sector,tic_id
4,88365885
18,316134319
19,316134319
20,172036040
4,142959058
28,89431590
1,301980848
28,301980848
5,30943870
6,30943870
14,367656846
19,367656846
20,367656846
21,367656846
26,367656846
21,355175842
5,450083428
17,259103848
17,259103848
17,259103848
17,600573013
17,600573013
17,600573013
17,471012662
17,471012662
17,471012662
8,33220570
5,423786241
18,317394133
19,317394133
24,317394133
25,317394133
23,381736209
13,366989133
27,366989133
14,230070232
15,230070232
16,230070232
17,230070232
18,230070232
19,230070232
20,230070232
21,230070232
22,230070232
23,230070232
24,230070232
25,230070232
26,230070232
18,63345936
18,370065236
22,441713865
23,441713865
25,149759025
20,365949934
21,365949934
11,88968493
15,138147897
16,138147897
15,1962678999
16,1962678999
20,409294034
5,249071639
6,375273689
10,375273689
11,375273689
12,375273689
2,166711157
3,166711157
27,369324522
27,369324520
4,340558405
7,340558405
8,340558405
9,340558405
10,340558405
13,340558405
27,340558405
20,743468501
18,308779412
16,2013411698
16,249695222
16,2013411693
22,172601550
17,440061659
9,57186214
10,57186214
20,197190234
11,448302254
12,448302254
4,168752776
5,168752776
14,356241590
17,356241590
18,356241590
21,356241590
24,356241590
25,356241590
26,356241590
14,165530589
15,165530589
16,165530589
17,165530589
18,165530589
20,165530589
21,165530589
23,165530589
24,165530589
25,165530589
26,165530589
16,174096671
17,174096671
19,426759287
3,206402318
4,206402318
6,317416577
13,168763452
27,168763452
11,454506085
12,454506085
18,82391023
1,152283580
28,152283580
13,113339639
27,113339639
13,158442595
27,158442595
9,105882951
18,396568051
19,396568051
25,396568051
18,357831022
19,357831022
25,357831022
6,59547137
10,349130112
23,141336649
14,199573123
15,199573123
16,199573123
17,199573123
18,199573123
19,199573123
20,199573123
21,199573123
22,199573123
23,199573123
24,199573123
25,199573123
26,199573123
3,28117051
19,105358685
28,89431342
14,1964050169
14,104091873
14,68766754
26,68766754
18,194737831
1,410213494
27,410213494
28,410213494
22,224303521
1,270101915
28,270101915
13,409934317
27,409934317
17,242841450
24,417521619
15,43064903
5,37816222
1,232083054
2,232083054
28,232083054
5,245950135
3,122504261
18,470124628
19,470124628
24,470124628
25,470124628
11,359356484
12,359356484
26,230303588
21,85243875
19,65786315
12,340522847
26,24255693
28,197569385
11,128981638
11,128981638
11,1172812213
11,1172812213
2,9178758
1,278897257
2,278897257
3,278897257
5,278897257
6,278897257
7,278897257
8,278897257
9,278897257
10,278897257
11,278897257
12,278897257
13,278897257
27,278897257
28,278897257
14,42322219
