phi,flux,t,flux_err
4.546645626137746,650.8854924559641,1332.0149661395458,5.3483853
4.571490682768702,652.569418073902,1332.0163550570637,5.3483853
4.596335739391523,635.2774152769139,1332.0177439745812,5.3483853
4.621180796026546,638.8360260275934,1332.0191328920994,5.3483853
4.646025848504812,640.7904200183781,1332.0205218093852,5.3483853
4.670870905127633,637.1407229984443,1332.0219107269027,5.3483853
4.695715961750454,643.9142822788913,1332.0232996444201,5.3483853
4.720561018393612,644.2269462309605,1332.0246885619388,5.3483853
4.745406070875945,641.9554275757454,1332.0260774792248,5.3483853
4.770251127494699,638.3203113982031,1332.027466396742,5.3483853
4.79509618411752,643.3493118635455,1332.0288553142595,5.3483853
4.819941240764745,645.3067157771749,1332.0302442317784,5.3483853
4.8447862932308094,644.3895495851579,1332.0316331490635,5.3483853
4.86963134985363,650.3843178551426,1332.033022066581,5.3483853
4.894476406488653,645.7071642902124,1332.0344109840992,5.3483853
4.919321458966919,643.9180320524831,1332.035799901385,5.3483853
4.944166515601942,632.0928563097078,1332.0371888189031,5.3483853
4.969011572220696,642.014360017347,1332.0385777364204,5.3483853
5.01870168132585,636.8463439743603,1332.041355571224,5.3483853
5.043546737956806,638.6026702242494,1332.0427444887418,5.3483853
5.068391790426937,645.0809373093113,1332.0441334060272,5.3483853
5.093236847049758,636.8053282550746,1332.0455223235447,5.3483853
5.118081903684782,638.609963706068,1332.0469112410628,5.3483853
5.1429269561630475,625.5025495430295,1332.0483001583486,5.3483853
5.167772012798071,635.873117267616,1332.0496890758668,5.3483853
5.1926170694208915,640.2276664734964,1332.0510779933843,5.3483853
5.217462121886956,635.6039364825307,1332.0524669106694,5.3483853
5.242307178534181,646.8399611758133,1332.0538558281883,5.3483853
5.267152230992111,636.3533657393464,1332.055244745473,5.3483853
5.291997287610864,638.3024997546968,1332.0566336629902,5.3483853
5.316842344258089,638.1732290638057,1332.058022580509,5.3483853
5.341687396736356,638.5109915736157,1332.0594114977948,5.3483853
5.366532453359176,640.4710903568365,1332.0608004153123,5.3483853
5.391377505817107,635.3472579871286,1332.062189332597,5.3483853
5.416222562460264,644.3098159716865,1332.0635782501156,5.3483853
5.441067614930396,640.6477400422066,1332.064967167401,5.3483853
5.465912671553217,641.7254475068327,1332.0663560849184,5.3483853
5.490757728184172,647.0023283896088,1332.0677450024364,5.3483853
5.515602780654304,637.5018617637211,1332.0691339197217,5.3483853
5.540447837289326,643.8779000422777,1332.0705228372399,5.3483853
5.565292889755391,642.5833700507069,1332.071911754525,5.3483853
5.5901379463904135,648.3093601533079,1332.0733006720432,5.3483853
5.614982998860546,637.6200078332661,1332.0746895893285,5.3483853
5.639828055491502,641.5030370016696,1332.0760785068464,5.3483853
5.664673107957565,631.36670613186,1332.0774674241316,5.3483853
5.689518164580386,643.2385389143335,1332.078856341649,5.3483853
5.714363217050518,637.550724547307,1332.0802452589344,5.3483853
5.739208273693675,642.8384821666366,1332.081634176453,5.3483853
5.764053326163807,630.1846408317017,1332.0830230937383,5.3483853
5.788898382786629,645.7198838242425,1332.0844120112558,5.3483853
5.81374343525676,642.8667671187712,1332.0858009285412,5.3483853
5.838588491899918,633.1083962837376,1332.0871898460598,5.3483853
5.863433544357847,630.5669176164475,1332.0885787633445,5.3483853
5.888278600976601,647.6736842874805,1332.0899676808617,5.3483853
5.913123653458934,642.6541195542022,1332.0913565981477,5.3483853
5.937968705941268,635.4071113960516,1332.0927455154338,5.3483853
5.962813762564089,650.1728591810737,1332.0941344329513,5.3483853
5.9876588150179515,643.9997926100834,1332.0955233502357,5.3483853
6.012503871665176,643.869815936353,1332.0969122677545,5.3483853
6.0373489241353075,639.9581956150363,1332.0983011850399,5.3483853
6.062193980754062,635.3586580335757,1332.0996901025571,5.3483853
6.087039033224193,643.5926668185888,1332.1010790198425,5.3483853
6.111884085690257,649.110277382134,1332.1024679371276,5.3483853
6.161574194795412,640.5008857435208,1332.105245771931,5.3483853
6.186419247261476,640.1250831643704,1332.1066346892162,5.3483853
6.211264303896499,641.062503308654,1332.1080236067344,5.3483853
6.23610935636663,641.1142904333884,1332.1094125240197,5.3483853
6.260954412997586,639.7322265030193,1332.1108014415377,5.3483853
6.285799465455517,631.7896052124908,1332.1121903588223,5.3483853
6.310644517921581,640.8585757324396,1332.1135792761074,5.3483853
6.335489574568805,639.1055284465397,1332.1149681936263,5.3483853
6.360334627038936,626.6031066780158,1332.1163571109116,5.3483853
6.385179679492799,633.1107242418558,1332.117746028196,5.3483853
6.410024736127822,639.6320605589304,1332.1191349457142,5.3483853
6.434869788606089,649.4642550014208,1332.120523863,5.3483853
6.459714841064018,640.1517642692219,1332.1219127802847,5.3483853
6.4845598976868395,637.4220313338806,1332.1233016978022,5.3483853
6.509404950169173,636.9074092778567,1332.1246906150882,5.3483853
6.534250002635236,637.3169141594839,1332.1260795323733,5.3483853
6.5590950550931675,639.7392035394681,1332.127468449658,5.3483853
6.5839401117241225,639.9504377690911,1332.128857367176,5.3483853
6.608785164206456,629.2634011054065,1332.130246284462,5.3483853
6.633630216676587,637.2340445899347,1332.1316352017473,5.3483853
6.65847526913045,635.0388054009051,1332.1330241190317,5.3483853
6.6833203257654725,642.5108616832089,1332.1344130365499,5.3483853
6.708165378235605,627.8265339423298,1332.1358019538352,5.3483853
6.733010430701669,628.8353630545217,1332.1371908711203,5.3483853
6.7578554831718005,638.1112577495292,1332.1385797884057,5.3483853
6.782700539806823,634.1271771626945,1332.1399687059238,5.3483853
6.807545592272887,631.4965859443333,1332.141357623209,5.3483853
6.832390644743018,648.2523847858066,1332.1427465404943,5.3483853
6.85723569721315,633.8668079073659,1332.1441354577796,5.3483853
6.882080749667013,630.8002511260072,1332.145524375064,5.3483853
6.906925806302036,636.9054465973123,1332.1469132925822,5.3483853
6.931770858784369,630.7649872666843,1332.1483022098682,5.3483853
6.956615911250434,634.9973569776198,1332.1496911271533,5.3483853
6.981460963708364,626.5530730823743,1332.151080044438,5.3483853
7.006306016174428,635.1761121554755,1332.1524689617231,5.3483853
7.031151072821652,632.8486120699323,1332.153857879242,5.3483853
7.055996125279583,641.750466765592,1332.1552467965266,5.3483853
7.080841177733444,643.6947508636495,1332.156635713811,5.3483853
7.1056862302157775,646.0436132595574,1332.158024631097,5.3483853
7.130531282685911,643.0533698200418,1332.1594135483824,5.3483853
7.1553763351397714,631.1622230532793,1332.1608024656668,5.3483853
7.180221387609904,632.3998079506657,1332.1621913829522,5.3483853
7.205066444257128,638.7803803791195,1332.163580300471,5.3483853
7.229911496723193,632.7676608786838,1332.1649692177562,5.3483853
7.254756549181122,640.0070121772901,1332.1663581350408,5.3483853
7.279601601647188,636.6715085715341,1332.167747052326,5.3483853
7.304446654117319,646.3531711901052,1332.1691359696113,5.3483853
7.32929170658745,633.8122355088373,1332.1705248868966,5.3483853
7.354136759053515,638.0577176932311,1332.1719138041817,5.3483853
7.378981811523647,633.9493432444773,1332.173302721467,5.3483853
