phi,flux,t,flux_err,median_
8.197095286115474,674.4068215237567,1358.5430973287366,15.408296,654.4331454815668
8.208658127843782,710.6252822658383,1358.5437785096435,15.408296,654.4331454815668
8.220217574733553,725.6160159926095,1358.5444594905564,15.408296,654.4331454815668
8.231778718986627,715.7405978356815,1358.545140571463,15.408296,654.4331454815668
8.243341560718797,681.1976350403397,1358.54582175237,15.408296,654.4331454815668
8.254902704968012,712.3207411126355,1358.5465028332765,15.408296,654.4331454815668
8.266463849217228,705.9271768117869,1358.5471839141828,15.408296,654.4331454815668
8.278026690949396,667.4692129082753,1358.54786509509,15.408296,654.4331454815668
8.28958783532212,678.8674983468235,1358.5485461760036,15.408296,654.4331454815668
8.301148979571336,666.332726525886,1358.54922725691,15.408296,654.4331454815668
8.312710123824411,679.368313587257,1358.5499083378165,15.408296,654.4331454815668
8.324271268069767,683.5702048979888,1358.5505894187227,15.408296,654.4331454815668
8.335832412318982,645.9193555195342,1358.551270499629,15.408296,654.4331454815668
8.347393556691705,652.7802653644335,1358.5519515805427,15.408296,654.4331454815668
8.358956398423874,681.6150929443663,1358.5526327614498,15.408296,654.4331454815668
8.370517542669232,681.865481704448,1358.553313842356,15.408296,654.4331454815668
8.382080384405258,712.1144421220613,1358.5539950232633,15.408296,654.4331454815668
8.393641528650615,663.4709755932709,1358.5546761041694,15.408296,654.4331454815668
8.405202673027198,667.821556833543,1358.5553571850833,15.408296,654.4331454815668
8.41676211979346,634.1320008934056,1358.5560381659889,15.408296,654.4331454815668
8.428324961525629,688.5271915766907,1358.556719346896,15.408296,654.4331454815668
8.439886105774844,700.9471813588408,1358.5574004278023,15.408296,654.4331454815668
8.451448947507014,646.9747370719188,1358.5580816087095,15.408296,654.4331454815668
8.46301009175623,646.8369007870128,1358.5587626896158,15.408296,654.4331454815668
8.474571236128952,676.341045700768,1358.5594437705295,15.408296,654.4331454815668
8.486134077857262,661.5167132054833,1358.5601249514364,15.408296,654.4331454815668
8.497695222110336,680.8988060573672,1358.560806032343,15.408296,654.4331454815668
8.5092546688766,626.2523356857462,1358.5614870132486,15.408296,654.4331454815668
8.520817510604909,653.9844136862216,1358.5621681941554,15.408296,654.4331454815668
8.53237865498149,656.8809154275488,1358.5628492750693,15.408296,654.4331454815668
8.543939799226848,641.5053176641543,1358.5635303559754,15.408296,654.4331454815668
8.555502640962876,649.0080114330345,1358.5642115368828,15.408296,654.4331454815668
8.56706378521595,664.5532927696331,1358.5648926177894,15.408296,654.4331454815668
8.578624929461308,649.1768064187155,1358.5655736986955,15.408296,654.4331454815668
8.590187771189617,645.874158277311,1358.5662548796024,15.408296,654.4331454815668
8.601747218083245,707.6100548629007,1358.5669358605155,15.408296,654.4331454815668
8.613308362332463,641.6663645935364,1358.5676169414219,15.408296,654.4331454815668
8.62487120406463,615.8965996568257,1358.568298122329,15.408296,654.4331454815668
8.636432348317706,643.4207433641558,1358.5689792032356,15.408296,654.4331454815668
8.64799349268657,607.9365498768809,1358.569660284149,15.408296,654.4331454815668
8.659554636939644,668.0994108786772,1358.5703413650556,15.408296,654.4331454815668
8.671117478667954,649.7755377721568,1358.5710225459625,15.408296,654.4331454815668
8.68267862291717,659.7908457167442,1358.5717036268688,15.408296,654.4331454815668
8.694238069683433,671.0105648927496,1358.5723846077744,15.408296,654.4331454815668
8.7058009114156,676.6854370910788,1358.5730657886816,15.408296,654.4331454815668
8.717362055788323,639.2385404684073,1358.5737468695952,15.408296,654.4331454815668
8.72892320003754,650.7263938801198,1358.5744279505016,15.408296,654.4331454815668
